.,name,firm
"He was the first investor in Flipkart, Mu-Sigma, Virident (acquired by Western Digital), Perfint, Myntra, CureFit, JusPay, Moglix, MoneyView, MySmartPrice, ScripBox, CoverFox, and several other category leaders.",Subrata Mitra,Accel Venture Partners
"Prior to Erasmic, Subrata was the managing director of India operations for Tavant Technologies, Inc. Tavant was acquired by a U.S.-based mortgage solutions company in 2004. Previously, Subrata was the founder of Firewhite, Inc., which was acquired by Ubiquio, Inc., and later merged into Mobile Planet.
Subrata studied Computer Sciences at the Indian Institute of Technology at Kanpur, and subsequently received his M.S. from UDel, and Ph.D. from Urbana.",Subrata Mitra,Accel Venture Partners
"Vas Natarajan joined Accel in 2010 and focuses on companies in the data, developer tools, and enterprise software spaces. ",Vas Natarajan,Accel Venture Partners
"He is on the board or actively involved in developer-focused companies like Segment and Tune Analytics; collaboration software companies like InVisionApp, Frame.io; and enterprise software businesses like Spoke. He also led the firm's investments in DeepMap, Skydio, and Propeller Aero. ",Vas Natarajan,Accel Venture Partners
"In addition to his current work, Vas is active with Accel’s India practice, and helps to co-lead the firm’s Big Data and Tech Council initiatives.",Vas Natarajan,Accel Venture Partners
"Vas is from Augusta, Georgia and graduated from the University of Pennsylvania.",Vas Natarajan,Accel Venture Partners
"Harry Nelis focuses on consumer internet, financial services and software companies.",Harry Nelis,Accel Venture Partners
"He led Accel’s investments in CHECK24, Funding Circle, KAYAK (acquired by Priceline), Showroomprive, WorldRemit and others.",Harry Nelis,Accel Venture Partners
Harry started his career as an engineer at Hewlett-Packard before founding the venture-backed software company E-motion.,Harry Nelis,Accel Venture Partners
Harry is from the Netherlands and graduated from Delft University of Technology and Harvard Business School.,Harry Nelis,Accel Venture Partners
Nate Niparko joined Accel in 2011 and focuses on enterprise software and infrastructure technology companies.,Nate Niparko,Accel Venture Partners
"He represents Accel on the boards of Algolia and G2Crowd, and is also actively involved in Accel's investments in CrowdStrike, Tenable, PagerDuty, HootSuite, and Plex Systems. Nate has also spent time as a technical product manager at Amazon Web Services and as a product manager at Invoice2Go.",Nate Niparko,Accel Venture Partners
"Nate is from Baltimore, Maryland and graduated from Dartmouth, Dartmouth's Thayer School of Engineering, and the Stanford Graduate School of Business.",Nate Niparko,Accel Venture Partners
Brian O’Malley has been venture investing since 2004 and spearheads Accel's work with next-generation marketplaces and consumer-focused companies.,Brian O'Malley,Accel Venture Partners
"He led the firm’s investments in Anchor, Away Travel, Gametime, HotelTonight and Luma, as well as disruptive software-as-a-services businesses Amino, Duetto, Narvar and Shift Technologies.",Brian O'Malley,Accel Venture Partners
"He joined Accel from Battery Ventures, where as a General Partner he led investments in companies like Dollar Shave Club (acquired by Unilever), BazaarVoice (public), Coupa (public), Skullcandy (public) and TradeKing (acquired by Ally). Prior to Battery, Brian led sales efforts and built some of the first web service-based API integrations for Bowstreet, Inc. (acquired by IBM). He started his career as a developer for Motorola.",Brian O'Malley,Accel Venture Partners
"Brian lived in eight cities, five states and two countries before the age of 18. He graduated from the University of Pennsylvania.",Brian O'Malley,Accel Venture Partners
"Seth Pierrepont focuses on software, consumer marketplace and mobile businesses.",Seth Pierrepont,Accel Venture Partners
"He helped lead Accel’s investments and ongoing work in CallSign, Carwow, Kry, and Soldo. Prior to Accel, Seth invested in European companies with Vision Capital. He previously advised technology and media companies on strategy with Oliver Wyman in San Francisco.",Seth Pierrepont,Accel Venture Partners
"Seth grew up in Chicago, IL and attended Dartmouth.",Seth Pierrepont,Accel Venture Partners
Prashanth Prakash joined Accel in 2008.,Prashanth Prakash,Accel Venture Partners
"Prashanth began investing in Indian technology start-ups (as early as in 2004) much before they acquired global attention. He started his investing career as co-founder of Erasmic, one of India’s first early stage funds. Prior to that, he founded two enterprises in the internet and multimedia publishing domains.",Prashanth Prakash,Accel Venture Partners
"As a key member of Accel’s India team, he focuses on consumer Internet services, online marketplaces and SaaS. He has led investments in Agrostar, BlueStone, BookMyShow, Clevertap, FabHotels, Healthcare Magic, HolidayIQ, HolidayMe, HomeLane, PropTiger, Rentomojo, TeaBox, QwikCilver/GiftBig, Qikpod and other early-stage companies.",Prashanth Prakash,Accel Venture Partners
"Prashanth is from Bangalore. He holds a master’s degree in computer science from the University of Delaware, and also an undergraduate degree in computer science.",Prashanth Prakash,Accel Venture Partners
Barath Shankar Subramanian joined Accel in 2012.,Barath Shankar Subramanian,Accel Venture Partners
"Barath has been in the healthcare domain for over a decade, having previously been a senior consultant at Frost & Sullivan. He covered the healthcare and life sciences domains across North America, Europe and Asia.",Barath Shankar Subramanian,Accel Venture Partners
"As a part of the investment team at Accel, he’s on the board or actively works with management teams at Zumutor, Portea Medical, Medigo, Axio, Consure, SigTuple and other early-stage companies.",Barath Shankar Subramanian,Accel Venture Partners
"Barath is from Madurai. He has a bachelor’s degree in Pharmacy from BITS, Pilani and an MBA from Carnegie Mellon University.",Barath Shankar Subramanian,Accel Venture Partners
Prayank Swaroop joined Accel in 2011.,Prayank Swaroop,Accel Venture Partners
"Prayank focuses on investments in consumer mobile/internet, brands, digital media, business-to-business and financial technologies. He has led investments in Bizongo, Fingerlix, Mechmocha, Mubble and OnsiteGo. He is also closely involved with Accel's investments in Bluestone, BookMyShow, CareStack, MySmartPrice, Power2SME and TaxiForSure (now merged with Ola Cabs).",Prayank Swaroop,Accel Venture Partners
"Prior to joining Accel, Prayank worked at Adobe Systems and Standard Chartered Bank in India and Singapore. He held positions across engineering, product marketing, pre-sales and product management. He also helped build enterprise level applications, as well as mobile banking and mobile trading apps.",Prayank Swaroop,Accel Venture Partners
"Prayank is from Ghaziabad. He has an integrated master's degree in Mathematics and Computing from IIT Delhi, and an MBA from Indian School of Business, Hyderabad.",Prayank Swaroop,Accel Venture Partners
Ryan Sweeney joined Accel in 2008.,Ryan Sweeney,Accel Venture Partners
"He ​i​s the first outside investor and board member in a number of ​leading​ ​SaaS and enterprise ​software companies like Atlassian​ (TEAM), Qualtrics, Squarespace, Pagerduty and Xero (XERO). Ryan is also active with innovative mobile startups like Goat, Invoice2go and VSCO.",Ryan Sweeney,Accel Venture Partners
"He was also responsible for numerous investments with notable exits, including AirWatch (acquired by VMware), Braintree/Venmo​ (acquired by PayPal), Groupon (public), Lynda.com (acquired by Linkedin), Lightspeed (acquired by CPqD) and OzForex (public).",Ryan Sweeney,Accel Venture Partners
"Ryan grew up in South Jersey, trusts the process, and graduated from Notre Dame and Harvard Business School.",Ryan Sweeney,Accel Venture Partners
"Matt Weigand focuses on enterprise software, consumer internet and security businesses. ",Matt Weigand,Accel Venture Partners
"Matt works closely with Accel's investments in Cornershop, G2Crowd, MessageBird, Xero and GoFundMe. Prior to joining Accel, Matt worked with William Blair's technology investment banking group. ",Matt Weigand,Accel Venture Partners
"Matt is from Cleveland, Ohio and graduated from Miami University.",Matt Weigand,Accel Venture Partners
"Rich Wong joined Accel as a partner in 2006 and focuses on software, internet services and mobile technologies.",Rich Wong,Accel Venture Partners
"Rich led the investments and currently serves on the Boards of Atlassian (TEAM), Checkr, Instabug, Osmo, Qwilt, ServiceChannel, Tune and UiPath. Rich also led Accel's investment in Rovio.",Rich Wong,Accel Venture Partners
"Rich previously led Accel's investments in Airwatch (acquired by VMWare), MoPub (acquired by Twitter), Admob (acquired by Google), Dealer.com (acquired by Cox), Nextbit (acquired by Razer), Parature (acquired by Microsoft), Sunrun (RUN), Swiftkey (acquired by Microsoft) and 3LM (acquired by Motorola).",Rich Wong,Accel Venture Partners
"He was the first outside Board member and lead investor in Atlassian, Checkr, MoPub, Tune, and 3LM.",Rich Wong,Accel Venture Partners
"He has been actively involved in the mobile and broadband ecosystems for more than a decade, having served as SVP of products for mobile pioneer, Openwave Systems and CMO of Covad Communications. Rich started his career as a brand manager at Procter & Gamble and at McKinsey.",Rich Wong,Accel Venture Partners
"Rich grew up in Santa Rosa, California and has a Materials Science & Engineering degree and Master in Management from MIT.",Rich Wong,Accel Venture Partners
